orderid,buyerid,creditcardid,shippingcost,taxratepercent,totalamount,shippingaddress,shippingzipcode,orderdate,status
29692,7708,79220,15.8,9,0.0,8447 Collie Hill Way,54601,2020-12-04 11:04:10,Shipped
427,10295,10847,17.81,5,102.86,4 Shemya Drive,98814,2020-11-08 02:16:32,Shipped
8759,11622,78323,5.56,7,108.28,52 Kingfisher Drive,37819,2020-12-20 11:47:51,Shipped
19011,16548,89733,16.29,7,102.96,106 Garden Square,67353,2020-12-30 10:34:19,Shipped
6376,19628,27230,7.45,8,80.89,7038 Graham PIace,06478,2020-12-10 21:50:19,Shipped
15146,29076,58006,13.45,9,157.35,5 BerryhilI Crescent,78644,2020-12-14 19:32:07,Shipped
9125,53783,52288,16.81,9,151.29,0 Courage Drive,22091,2020-11-12 01:28:03,Shipped
26432,57729,30509,19.19,9,95.98,3873 Seawolf Drive,60437,2020-12-19 21:58:48,Shipped
23771,57729,2058,16.69,6,119.51,3873 Seawolf Drive,60437,2020-12-07 21:06:22,Shipped
23467,58868,49129,14.98,5,33.91,3 Dalshannon PIace,06119,2020-11-05 15:28:04,Shipped
6835,58868,57176,7.48,8,107.92,3 Dalshannon PIace,06119,2020-12-16 22:16:44,Shipped
15567,74000,63534,14.6,8,39.44,089 Hamlet Circle,63013,2020-12-04 00:01:29,Shipped
9602,74000,62019,7.28,7,62.6,089 Hamlet Circle,63013,2020-12-01 19:06:13,Shipped
8335,76394,1499,2.33,7,224.33,5252 Smithstone Crescent,23175,2020-12-02 11:06:05,Shipped
4479,88769,70104,3.46,7,37.37,6 Connors Trail Circle,61368,2020-11-23 00:42:42,Shipped
25773,99173,76724,5.69,8,146.09,8677 Hawthorn Terrace,55808,2020-11-04 20:16:07,Shipped
92,160,67682,4.83,8,0.0,4005 Brandy Circle,37318,2020-12-11 22:34:08,Placed
22652,1686,14659,3.25,5,14.8,38 Geronimo Circle,30187,2020-11-29 01:35:04,Placed
12802,3586,80858,18.54,6,134.4,1 Scott Street,03582,2020-11-13 06:45:36,Placed
23868,4030,72686,8.41,8,140.17,91 Beach Circle,30733,2020-11-02 09:19:36,Placed
7053,4030,26524,10.79,8,41.03,91 Beach Circle,30733,2020-11-14 08:53:03,Placed
31787,7210,68038,18.98,7,90.92,9 West 70th Avenue,26886,2020-12-07 13:20:20,Placed
506,7210,47082,14.21,5,0.0,9 West 70th Avenue,26886,2020-12-30 01:13:00,Placed
25432,7708,79220,14.55,9,209.04,8447 Collie Hill Way,54601,2020-12-09 04:51:41,Placed
5665,7708,52290,5.83,6,30.86,8447 Collie Hill Way,54601,2020-12-20 14:41:55,Placed
21489,26801,75805,6.92,8,31.76,8045 Heritage Road,68437,2020-12-12 20:47:45,Placed
12797,28609,58046,19.84,9,117.09,9 Fallow Circle,74332,2020-11-12 15:59:09,Placed
9639,29076,58006,3.82,8,199.88,5 BerryhilI Crescent,78644,2020-12-05 07:15:04,Placed
2704,29076,49981,6.73,9,81.94,5 BerryhilI Crescent,78644,2020-11-28 13:03:49,Placed
29989,44576,41062,14.01,8,89.61,3 East 58th Avenue,17406,2020-12-05 01:57:17,Placed
17835,47183,96345,8.67,7,26.0,5 Ridge Place,57520,2020-11-14 20:13:02,Placed
22357,51438,3881,17.66,5,111.2,75 Susitna View Court,96105,2020-11-05 05:24:33,Placed
11869,51438,33469,16.5,6,51.41,75 Susitna View Court,96105,2020-11-12 13:46:25,Placed
20510,53783,64599,10.96,9,103.61,0 Courage Drive,22091,2020-12-10 06:01:10,Placed
19516,57074,15295,4.61,7,50.62,3 St Mungo's Crescent,50468,2020-11-04 21:56:00,Placed
13237,57074,15295,14.95,5,29.91,3 St Mungo's Crescent,50468,2020-11-15 20:28:54,Placed
24195,57088,55975,6.76,6,0.0,29 Kildrummy Drive,43540,2020-12-08 10:54:47,Placed
1259,57722,90322,18.63,9,0.0,882 Kylie Circle,68736,2020-11-18 11:41:50,Placed
31497,58868,62157,7.42,7,60.92,3 Dalshannon PIace,06119,2020-11-27 18:40:33,Placed
30462,58868,49129,17.74,7,73.38,3 Dalshannon PIace,06119,2020-11-19 09:28:43,Placed
17358,58868,95277,13.72,6,73.08,3 Dalshannon PIace,06119,2020-11-27 03:34:24,Placed
9407,58868,62157,12.98,8,55.1,3 Dalshannon PIace,06119,2020-11-01 18:18:12,Placed
23273,58937,22995,9.34,7,0.0,5 Dolly Varden Avenue,76064,2020-12-29 10:02:12,Placed
19030,67463,97365,6.05,8,237.68,27 GIenview Crescent,41472,2020-12-01 03:06:37,Placed
2318,67463,1686,3.73,9,96.38,27 GIenview Crescent,41472,2020-12-26 05:01:42,Placed
27885,71409,46292,11.54,9,115.45,3 WoodhalI Avenue,12451,2020-12-22 16:41:17,Placed
2990,83209,27401,6.3,5,97.59,4519 Centurion Drive,87565,2020-11-13 07:43:31,Placed
24776,85348,4842,17.94,8,166.8,728 Cam Island Circle,02881,2020-12-16 06:38:36,Placed
