userid,firstname,lastname,email,address,zipcode
80527,Emerson,Wire,emerson.wire@netscape.com,2 Harris PIace,13835
16548,Tandy,Wire,tandy.wire@gmail.com,106 Garden Square,67353
42322,Heide,Wiedeman,heide.wiedeman@gmail.com,5947 Aultmore Drive,87652
83287,Jacalyn,Whobrey,jacalyn.whobrey@netscape.com,591 Robert Burns Avenue,08035
1903,Mika,Wada,mika.wada@fakeemail.com,35 Hampton Green Loop,14063
39411,Janessa,Wada,janessa.wada@xfinity.com,890 BellshilI Road,07726
17256,Jada,Vogus,jada.vogus@xfinity.com,9 Gold Circle,41011
66707,Carlita,Vogus,carlita.vogus@xfinity.com,75 Augustine Drive,35188
86052,Modesto,Vitiello,modesto.vitiello@xfinity.com,9198 Chapel Circle,68856
51881,Natalie,Vitiello,natalie.vitiello@fakeemail.com,45 Hill Circle,42338
92654,Israel,Vitiello,israel.vitiello@netscape.com,122 West 70th Avenue,26812
70527,Leana,Varnum,leana.varnum@gmail.com,39 EIm Family Church,87652
10643,Nancy,Vantassell,nancy.vantassell@xfinity.com,78 Lincoln Ellsworth Court,88267
47183,Berniece,Vantassell,berniece.vantassell@fakeemail.com,5 Ridge Place,57520
3586,Bobby,Vanderheyden,bobby.vanderheyden@fakeemail.com,1 Scott Street,03582
71409,Tasha,Stracener,tasha.stracener@yahoo.com,3 WoodhalI Avenue,12451
23757,Dovie,Stracener,dovie.stracener@gmail.com,1 Sword Street,79070
6134,Nada,Stracener,nada.stracener@fakeemail.com,527 Charles Path,03462
40307,Theda,Stracener,theda.stracener@yahoo.com,0542 Spruce View Loop,04450
30641,Hellen,Siddiqui,hellen.siddiqui@fakeemail.com,5 Grizzly Trailer Court,30710
19758,Joanne,Shiflett,joanne.shiflett@gmail.com,5437 Morningside Road,72310
3169,Marin,Schoolcraft,marin.schoolcraft@xfinity.com,7179 Soyuz Circle,84739
98486,Marissa,Saum,marissa.saum@netscape.com,22 Shepford PIace,10566
98786,Jimmy,Rutan,jimmy.rutan@netscape.com,1 Desiree Loop,67354
25414,Wilma,Rodden,wilma.rodden@yahoo.com,100 Lomond Piace,45380
72897,Eunice,Rodden,eunice.rodden@gmail.com,311 Grumman Street,67448
47122,Cammy,Redfern,cammy.redfern@fakeemail.com,447 Oakbank Street,50223
69317,Alphonse,Redfern,alphonse.redfern@xfinity.com,7246 Ardfern Road,01827
98688,Lorna,Redfern,lorna.redfern@netscape.com,492 Crabtree Lane,14216
85188,Tandy,Reay,tandy.reay@netscape.com,305 Balblair Road,14454
61107,Enedina,Ramsden,enedina.ramsden@gmail.com,243 Ballater Way,90713
50986,Maxie,Ramsden,maxie.ramsden@fakeemail.com,03 Glen Alps Road,41095
6097,Lavenia,Ramsden,lavenia.ramsden@xfinity.com,9516 Broomfield Street,04849
96516,Clara,Pritt,clara.pritt@netscape.com,32 Abbington Court,55040
71508,Lita,Pritt,lita.pritt@xfinity.com,7675 Kenmuir Street,19064
61663,Adelaida,Pontbriand,adelaida.pontbriand@xfinity.com,8 Hazelbank,52802
39903,Keely,Pettibone,keely.pettibone@fakeemail.com,62 Garnkirk Lane,23230
80164,Nevada,Pellom,nevada.pellom@netscape.com,2681 Timberwolf Circle,87652
98196,Golden,Pellom,golden.pellom@netscape.com,1 Auldhame Street,18469
51697,Mercy,Pawlik,mercy.pawlik@xfinity.com,7350 Mason Court,60119
98744,Dominick,Pawlik,dominick.pawlik@xfinity.com,9 Hillbrook Circle,13140
84398,Travis,Paulseth,travis.paulseth@netscape.com,0149 Eastwood Court,76133
88362,Shavonne,Paulseth,shavonne.paulseth@netscape.com,5032 Brandywine Avenue,57242
19816,Ardath,Pasaya,ardath.pasaya@xfinity.com,9 Exeter Street,08823
9825,Ashlyn,Pasaya,ashlyn.pasaya@fakeemail.com,51 Northpointe Bluff Drive,34224
42290,Melaine,Paras,melaine.paras@fakeemail.com,417 Thomas Circle,39669
99293,David,Pajerski,david.pajerski@netscape.com,6471 Inchnock Avenue,12847
12406,Leone,Pajerski,leone.pajerski@fakeemail.com,3360 McGregor Path,21402
28609,Ilona,Osmond,ilona.osmond@xfinity.com,9 Fallow Circle,74332
55927,Carly,Osmond,carly.osmond@xfinity.com,8 Stellar Jay Lane,43054
84504,Chanel,Opula,chanel.opula@netscape.com,6 Wheatholm Street,26633
